USE_YM,USE_HM,FDRCT_VLD_KWH
20220730,0500,1199641.89
20220730,0600,1268351.83
20220730,0700,1317897.488
20220730,0800,1500373.22
20220730,0900,1765562.857
20220730,1000,1933858.344
20220730,1100,2203895.59
20220730,1200,2242956.418
20220730,1300,2290687.248
20220730,1400,2281449.996
20220730,1500,2302505.173
20220730,1600,2250364.67
20220730,1700,2258665.2229999998
20220730,1800,2254324.132
20220730,1900,2172763.34
20220730,2000,2148375.857
20220730,2100,2122947.154
20220730,2200,1958833.166
20220730,2300,1778231.435
20220730,2400,1640349.87
20220731,0100,1709730.39
20220731,0200,1623383.032
20220731,0300,1512234.218
20220731,0400,1462616.8260000001
20220731,0500,1355177.685
20220731,0600,1415902.2650000001
20220731,0700,1444025.089
20220731,0800,1578408.8599999999
20220731,0900,1809267.408
20220731,1000,1989112.778
20220731,1100,2047862.528
20220731,1200,2147117.894
20220731,1300,2132502.211
20220731,1400,2144123.891
20220731,1500,2157692.67
20220731,1600,2109527.496
20220731,1700,2193508.471
20220731,1800,2158354.546
20220731,1900,2256455.013
20220731,2000,2160380.733
20220731,2100,2118061.797
20220731,2200,2087617.197
20220731,2300,1920738.324
20220731,2400,1709315.58
20220801,0100,3705627.737
20220801,0200,4388074.642
20220801,0300,4106185.725
20220801,0400,3252645.453
20220801,0500,3469095.864
20220801,0600,4300072.48
20220801,0700,4848732.89
20220801,0800,6584981.809
20220801,0900,5869972.408
20220801,1000,7386172.8088
20220801,1100,7752167.8832
20220801,1200,7944219.251
20220801,1300,7353699.0096
20220801,1400,8468182.8362
20220801,1500,8249269.0778
20220801,1600,8140167.0668
20220801,1700,8139031.435
20220801,1800,8988331.618999999
20220801,1900,7527629.342
20220801,2000,6444629.114
20220801,2100,6965691.037
20220801,2200,7255455.911
20220801,2300,6620888.155
20220801,2400,5372371.943
20220802,0100,1823825.399
20220802,0200,1803641.869
20220802,0300,1534393.183
20220802,0400,1490172.903
20220802,0500,1694441.2650000001
20220802,0600,1573710.719
20220802,0700,1803033.204
20220802,0800,2305377.36
20220802,0900,2789988.619
20220802,1000,2987262.404
20220802,1100,3084965.966
20220802,1200,3077905.722
20220802,1300,3167977.41
20220802,1400,2869093.349
20220802,1500,3138406.106
20220802,1600,2994772.136
20220802,1700,3012840.506
20220802,1800,2906514.964
20220802,1900,2805748.788
20220802,2000,2686046.63
20220802,2100,2468353.69
20220802,2200,2301147.039
20220802,2300,2006235.851
20220802,2400,1887375.993
20220803,0100,1643390.469
20220803,0200,1612176.715
20220803,0300,1372309.155
20220803,0400,1380685.03
20220803,0500,1366980.97
20220803,0600,1438423.178
20220803,0700,1669292.853
20220803,0800,2083450.566
20220803,0900,2473028.257
20220803,1000,2825294.836
20220803,1100,2887010.497
20220803,1200,2986335.1616
20220803,1300,3043888.2648
20220803,1400,3080013.366
20220803,1500,3067780.5788
20220803,1600,2996741.9432
20220803,1700,2963039.521
20220803,1800,2909269.127
20220803,1900,2723916.877
20220803,2000,2554296.37
20220803,2100,2285016.399
20220803,2200,2154877.883
20220803,2300,1967939.054
20220803,2400,1952944.202
20220804,0100,1688247.669
20220804,0200,1845450.555
20220804,0300,1427317.803
20220804,0400,1384940.502
20220804,0500,1375672.305
20220804,0600,1427074.576
20220804,0700,1646997.898
20220804,0800,2054936.8644
20220804,0900,2465446.6352
20220804,1000,2826976.2024
20220804,1100,3036555.8168
20220804,1200,3100895.2416000003
20220804,1300,3166067.2636
20220804,1400,3177738.3102
20220804,1500,3148467.9128
20220804,1600,2884763.2066
20220804,1700,2991085.721
20220804,1800,3062998.873
20220804,1900,2546748.432
20220804,2000,2670044.618
20220804,2100,2321235.718
20220804,2200,2323144.69
20220804,2300,2177382.374
20220804,2400,1807286.7449999999
20220805,0100,4915262.427
20220805,0200,4532772.031
20220805,0300,4319808.801
20220805,0400,3433134.469
20220805,0500,3325389.991
20220805,0600,3573964.063
20220805,0700,5071966.81
20220805,0800,6332456.047
20220805,0900,7717890.9428
20220805,1000,6952903.1956
20220805,1100,7081330.8056
20220805,1200,8172933.5194
20220805,1300,8868393.636
20220805,1400,8363281.9912
20220805,1500,7351382.0686
20220805,1600,8028115.6778
20220805,1700,7356286.1049999995
20220805,1800,7258967.543
20220805,1900,6487440.996
20220805,2000,7133941.494
20220805,2100,6942152.484
20220805,2200,5224257.062
20220805,2300,5714896.4520000005
20220805,2400,4396251.314
20220806,0100,4839528.887
20220806,0200,4680073.004
20220806,0300,3592575.611
20220806,0400,3378868.615
20220806,0500,3213993.324
20220806,0600,4053311.394
20220806,0700,3557996.074
20220806,0800,4245764.263
20220806,0900,6302480.7476
20220806,1000,5787017.9286
20220806,1100,5744661.4388
20220806,1200,6423511.968
20220806,1300,5406896.311
20220806,1400,6632935.9072
20220806,1500,7413792.5414
20220806,1600,6485093.181
20220806,1700,6558190.01
20220806,1800,6560383.769
20220806,1900,6497359.777
20220806,2000,6835515.988
20220806,2100,6410478.874
20220806,2200,5196327.872
20220806,2300,5623155.222
